OriginalTerm,MatchingTerm1,MatchingTerm2,MatchingTerm3,MatchingTerm4,MatchingTerm5
(NH4)3PO4 Production,ammonium_phosphate,,,,
Acid methyl sodium(Le),,,,,
Activated carbon plant,activated_carbon,,,,
Activated Carbon Plant,activated_carbon,,,,
Adhesive plant,adhesive,,,,
Aekyung Petrochemical,petrochemical_industry,petrochemical_plant,,,
Agricultural associations,,,,,
Agroetanol,bioethanol_production,,,,
Air Liquid,industrial_gas,,,,
Air Liquide,industrial_gas,,,,
Ajin Metal,,,,,
Alchol production,alcohol_production,alcohol_production_process,,,
Alcoa World Alumina,alumina_production,,,,
Alcohol plant,alcohol_production,alcohol_production_process,,,
Alcohol residue,alcohol_residue,,,,
Alcohol slops,alcohol_slops,,,,
Alkali recovery plant,alkali_recovery,,,,
Alko-hoilc Residue,alcohol_residue,,,,
Alumina Production plant,alumina_production,,,,
Alumina Red Mud,red_mud,red_mud_slurry,bayer_process_red_mud,,
Aluminium slag processer D,aluminum_slag,,,,
Aluminous slag(Lc),aluminum_slag,,,,
Aluminum profile plant,aluminum_profile,,,,
Ammonia Synthesis Facility,ammonia_synthesis,,,,
Ammonium Nitrate Production,ammonium_nitrate,,,,
Ammonium Nitrate Production plant,ammonium_nitrate,,,,
Asphalt plant,asphalt,,,,
Australian Fused Materials,,,,,
Australian Gold Reagents,,,,,
Auto die castings,die_casting,,,,
Auto engines,car_engines,,,,
Auto part casts,,,,,
Auto parts,auto_parts,,,,
Auto Parts,auto_parts,,,,
Automotive stamping dies,stamping_die,,,,
Aventis Crop Sciences,,,,,
Aviary R,,,,,
Bagasse pitch,,,,,
Ballasts plant,,,,,
Bark flue ash,,,,,
Barley (Lp),barley,,,,
Batteries and oil filters,waste_oil_filter,waste_battery,,,
Battery recycler F,battery_recycling,,,,
Biological pharmaceutical plant,pharmaceutical_factory,pharmaceutical_industry,,,
Biomass processer Q,biomass_processing,,,,
Blast furnace sand,blast_furnace_slag,,,,
Bleaching water,bleaching_agent,,,,
Blocks production,,,,,
BOC Gases,industrial_gas,,,,
Boiler House,industrial_boiler,industrial_boilers,,,
BP Refinery,oil_refinery,petroleum_refinery,,,
Brick Plant,brick_making,brickmaking,brick_making_machine,,
Brine Residue,brine_waste,waste_brine,effluent_brine,,
Bromine Production,bromine,,,,
Brown water,brown_water,,,,
Building Material Production plant,building_material,,,,
C.I.G.,,,,,
Cabot chemical (tianjin) Co.,,,,,
Calcium carbonate plant,calcium_carbonate,,,,
Cane fields,cane_fields,,,,
Cane Fields,cane_fields,,,,
Carbide slag(Le),carbide_slag,,,,
Carboard,cardboard,waste_cardboard,,,
Casting (Lp),castings,,,,
Casting plant,casting_process,,,,
CDW processer L,demolition_waste,construction_waste,construction_waste,,
Cement plant1,cement_plant,,,,
Cement plant2,cement_plant,,,,
Cement plant3,cement_plant,,,,
Cement plant4,cement_plant,,,,
Cement plant5,cement_plant,,,,
Cement plant6,cement_plant,,,,
Ceramic materials plant,ceramic_production,,,,
Chlorine dioxide plant,chlorine_dioxide,chlorine_dioxide,,,
Chloro-Alkaline Production,,,,,
CIBA Specialty Chemicals,specialty_chemicals,,,,
CIRVER 1,,,,,
CIRVER 2,,,,,
Civil explosives,explosives,,,,
Cleanaway,,,,,
CMW (Tianjin) industry Co.,,,,,
Co-operative Bulk Handling,bulk_handling,,,,
Co-Operative Bulk Handling,bulk_handling,,,,
Coal Gasification plant,coal_gasification,coal_gasification_process,coal_gasification_furnace,coal_gasification_device,
Coal Mine Fillings,mine_filling,,,,
Coal Ores,coal_ore,,,,
Coal Preparation plant,coal_preparation_plants,,,,
Coal Preparation Plant,coal_preparation_plants,,,,
Cocacola company,,,,,
Cockburn Cement,cement_production_plant,cement_production_facility,cement_production,cement_production_process,
Colmec,,,,,
Color industry,,,,,
Communal waste water,wastewater,,,,
Compound fertilizer plant,compound_fertilizer,compound_fertilizer_production_system,,,
Compound fertilizer production,compound_fertilizer,compound_fertilizer_production_system,,,
Computer plant,,,,,
Construction companies,construction_companies,,,,
Construction materials industry1,construction_materials,construction_material,,,
Construction materials industry2,construction_materials,construction_material,,,
Construction materials T,construction_materials,,,,
Container refurbishment K,,,,,
Contianers,containers,,,,
Coogee Chemicals,,,,,
CooGee Chemicals,,,,,
Cool ash,coal_ash,coal_ashes,waste_coal_ash,,
Corn syrup(Le),corn_syrup,,,,
Corn(Lp),corn,maize,,,
Cornstarch factory,corn_starch,,,,
Crude ash,crude_ash,,,,
CSBP,,,,,
CSBP&FARMERS,,,,,
DaeHan Jedang,,,,,
DauMetal,,,,,
Degradable plastics plant,corn_syrup,,,,
Demineralised water,demineralized_water,,,,
Demineralised Water,demineralized_water,,,,
Desilicated Ash,,,,,
Diesel oils,diesel_oil,,,,
Diesel Oils,diesel_oil,,,,
Dilute Brine,brine_solution,,,,
Discrete parts,,,,,
District heat,district_heating,,,,
District heating,district_heating,,,,
District heating feeder circuit,district_heating,,,,
District heating return circuit,district_heating,,,,
District heating station,district_heating,,,,
